name,image_url
Chicken Burger,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chicken_Burger_KRRNHIXqli.jpg
Buff Burger,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Buff_Burger_IGYXu7oUa.jpg
Soy Sauce,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Soy_Sauce_uLGYf30-2.jpg
Tomato Ketchup,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Tomato_Ketchup_HWWOZSygz.jpg
Mayonnaise,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Mayonnaise_fzEQNRfA_.jpg
Chilli Sauce (Nepali-style),https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chilli_Sauce_Nepali-style__747EKT3JH.jpg

Coffee,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Coffee_2rUMmio1I.jpg
Espresso,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Espresso_Em1Ds7pHT.jpg
Cappuccino,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Cappuccino_8Vh8QPvdD.jpg
Cafe Latte,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Cafe_Latte_gtn_Qpe7A.jpg
Hot Chocolate,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Hot_Chocolate_1N78TLrUB.jpg
Chocolate Cake,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chocolate_Cake_ho7lnbPF9.jpg
Barfi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Barfi_lM6uCTz4S6.jpg
Rasbari,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Rasbari_tzvj7u_Tb.jpg
Sikarni,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Sikarni_4s93yp_DM.jpg
Malpuwa,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Malpuwa_rV1DCE1dv.jpg
Thekuwa,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Thekuwa_HYMH9Blt7.jpg
Ice Cream,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Ice_Cream_-RayCDezS.jpg

Honey,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Honey_g-MRZj5mp.jpg
Butter,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Butter_gjveypA8C.jpg
Flour,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Flour_98xjvl1Df.jpg
Lentils,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Lentils_yXV7bO_8Z.jpg
Maple Syrup,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Maple_Syrup_Lxj3nnqSW.jpg
Vinegar,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Vinegar_0m402NCJW.jpg
Cheese,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Cheese_zoRxEsbzC.jpg
Peanut Butter,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Peanut_Butter_W4hZu_X3J.jpg
Jam,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Jam_aIEAFUL4B.jpg
Fried Rice,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Fried_Rice_puFkLKfPK.jpg
Dumplings,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Dumplings_XCrzddZ53.jpg
Spring Rolls,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Spring_Rolls_7YxowmZGis.jpg
Sweet and Sour Pork,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Sweet_and_Sour_Pork_qMwxFvJyp.jpg
Mapo Tofu,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Mapo_Tofu_EZW75agB7.jpg
Peking Duck,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Peking_Duck_6Kj4kxhhf.jpg
Wonton Soup,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Wonton_Soup_rjBJfT2wO.jpg
Sushi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Sushi_EA_ajyijp.jpg
Ramen,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Ramen_v0p1_ceEgY.jpg
Tempura,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Tempura_HF8DJwEq1.jpg
Teriyaki Chicken,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Teriyaki_Chicken_4wTe79BWQ.jpg
Miso Soup,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Miso_Soup_NgPHK6b3w.jpg
Sashimi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Sashimi_R5iOaviLb.jpg
Onigiri,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Onigiri_1gmvzwXp8.jpg
Kimchi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Kimchi_9_nX5s7DkA.jpg
Bibimbap,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Bibimbap_zIsR3VbCE.jpg
